2026-05-27 09:14:49,053 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | POST | 302 | materials.bulk_add_issue_request | /issue-requests/bulk-add | 32ms | http://127.0.0.1:8080/materials
2026-05-27 09:14:49,132 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | materials.materials | /materials?req_tab=issue | 75ms | http://127.0.0.1:8080/materials
2026-05-27 09:14:56,794 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | POST | 302 | materials.complete_issue_request | /issue-requests/572/complete | 39ms | http://127.0.0.1:8080/materials?req_tab=issue
2026-05-27 09:14:56,862 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | materials.materials | /materials?req_tab=issue&issue_status=completed | 63ms | http://127.0.0.1:8080/materials?req_tab=issue
2026-05-27 09:15:05,950 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedules | /schedules | 33ms | http://127.0.0.1:8080/materials?req_tab=issue&issue_status=completed
2026-05-27 09:15:06,542 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedule_requirements_data | /schedules/requirements-data | 17ms | http://127.0.0.1:8080/schedules
2026-05-27 09:15:48,471 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | main.index | / | 43ms | http://127.0.0.1:8080/schedules?view=requirements
2026-05-27 09:15:49,008 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedules | /schedules | 37ms | http://127.0.0.1:8080/
2026-05-27 09:17:04,474 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedules | /schedules | 40ms | http://127.0.0.1:8080/schedules
2026-05-27 09:17:06,541 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.production_detail | /production/431 | 34ms | http://127.0.0.1:8080/schedules
2026-05-27 09:17:10,526 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.production_detail | /production/433 | 35ms | http://127.0.0.1:8080/schedules
2026-05-27 09:18:50,581 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedule_requirements_data | /schedules/requirements-data | 16ms | http://127.0.0.1:8080/schedules
